critical_rank,pop_rank,precipitate,age,temp
30,28,98.33,33,28.75
27,27,98.33,36,28.75
27,27,98.33,36,28.75
24,11,98.33,65,28.42
23,16,98.33,56,28.75
30,28,98.33,62,28.75
27,27,98.33,71,28.75
3,13,98.33,63,28.75
26,14,98.33,61,28.75
17,19,98.33,70,28.72
20,25,98.33,59,28.75
23,16,98.33,56,28.75
21,18,98.33,60,28.42
30,28,98.33,49,28.75
30,28,98.33,49,28.75
16,29,98.33,24,28.75
2,20,98.33,48,28.75
2,20,98.33,48,28.75
25,24,98.33,53,28.42
27,27,98.33,40,28.75
24,11,98.33,61,28.42
17,19,98.33,59,28.72
21,18,98.33,67,28.42
30,28,98.33,85,28.75
10,26,98.33,68,28.75
21,18,98.33,60,28.42
30,28,98.33,8,28.75
27,27,98.33,66,28.75
17,19,98.33,70,28.72
30,28,98.33,67,28.75
27,27,98.33,63,28.75
21,18,98.33,62,28.42
13,22,98.33,62,28.42
25,24,98.33,75,28.42
25,24,98.33,64,28.42
10,26,98.33,53,28.75
30,28,98.33,67,28.75
28,8,98.33,79,28.42
28,8,98.33,79,28.42
20,25,98.33,61,28.75
21,18,98.33,62,28.42
11,23,98.33,70,28.75
23,16,98.33,57,28.75
28,8,98.33,58,28.42
14,12,98.33,63,28.42
15,10,98.33,52,28.75
23,16,98.33,53,28.75
23,16,98.33,53,28.75
30,28,98.33,51,28.75
30,28,98.33,51,28.75
27,27,98.33,39,28.75
21,18,98.33,71,28.42
27,27,98.33,36,28.75
21,18,98.33,40,28.42
21,18,98.33,40,28.42
20,25,98.33,53,28.75
21,18,98.33,67,28.42
2,20,98.33,48,28.75
2,20,98.33,48,28.75
26,14,98.33,61,28.75
30,28,98.33,67,28.75
21,18,98.33,86,28.42
16,29,98.33,53,28.75
21,18,98.33,80,28.42
25,24,98.33,50,28.42
17,19,98.33,76,28.72
27,27,98.33,57,28.75
16,29,98.33,58,28.75
21,18,98.33,48,28.42
27,27,98.33,81,28.75
24,11,98.33,90,28.42
9,6,98.33,67,28.42
9,6,98.33,67,28.42
9,6,98.33,67,28.42
23,16,98.33,78,28.75
27,27,98.33,63,28.75
27,27,98.33,63,28.75
25,24,98.33,73,28.42
30,28,98.33,58,28.75
22,17,98.33,43,28.75
16,29,98.33,58,28.75
25,24,98.33,71,28.42
30,28,98.33,60,28.75
25,24,98.33,58,28.42
30,28,98.33,69,28.75
27,27,98.33,65,28.75
9,6,98.33,34,28.42
9,6,98.33,34,28.42
27,27,98.33,36,28.75
27,27,98.33,36,28.75
30,28,98.33,62,28.75
27,27,98.33,58,28.75
23,16,98.33,35,28.75
30,28,98.33,58,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
22,17,98.33,43,28.75
4,30,98.33,64,28.75
11,23,98.33,72,28.75
27,27,98.33,70,28.75
22,17,98.33,64,28.75
26,14,98.33,73,28.75
30,28,98.33,67,28.75
17,19,98.33,31,28.72
2,20,98.33,48,28.75
2,20,98.33,48,28.75
16,29,98.33,65,28.75
17,19,98.33,60,28.72
17,19,98.33,60,28.72
27,27,98.33,71,28.75
20,25,98.33,58,28.75
30,28,98.33,71,28.75
27,27,98.33,49,28.75
19,7,98.33,68,28.75
30,28,98.33,49,28.75
30,28,98.33,49,28.75
4,30,98.33,67,28.75
24,11,98.33,61,28.42
2,20,98.33,48,28.75
2,20,98.33,48,28.75
26,14,98.33,55,28.75
25,24,98.33,53,28.42
19,7,98.33,74,28.75
25,24,98.33,59,28.42
16,29,98.33,59,28.75
20,25,98.33,55,28.75
30,28,98.33,67,28.75
25,24,98.33,73,28.42
8,21,98.33,73,28.42
30,28,98.33,75,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
25,24,98.33,65,28.42
21,18,98.33,69,28.42
24,11,98.33,61,28.42
4,30,98.33,64,28.75
30,28,98.33,86,28.75
21,18,98.33,67,28.42
19,7,98.33,77,28.75
11,23,98.33,72,28.75
17,19,98.33,70,28.72
27,27,98.33,71,28.75
22,17,98.33,64,28.75
26,14,98.33,73,28.75
7,15,98.33,56,28.75
4,30,98.33,29,28.75
25,24,98.33,74,28.42
30,28,98.33,45,28.75
30,28,98.33,49,28.75
17,19,98.33,61,28.72
27,27,98.33,54,28.75
16,29,98.33,67,28.75
16,29,98.33,67,28.75
27,27,98.33,62,28.75
24,11,98.33,68,28.42
28,8,98.33,77,28.42
21,18,98.33,65,28.42
21,18,98.33,65,28.42
25,24,98.33,49,28.42
30,28,98.33,45,28.75
30,28,98.33,60,28.75
30,28,98.33,67,28.75
30,28,98.33,64,28.75
27,27,98.33,82,28.75
27,27,98.33,67,28.75
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,71,28.42
25,24,98.33,73,28.42
6,3,98.33,67,28.75
21,18,98.33,40,28.42
21,18,98.33,40,28.42
10,26,98.33,66,28.75
21,18,98.33,76,28.42
30,28,98.33,63,28.75
22,17,98.33,43,28.75
27,27,98.33,77,28.75
11,23,98.33,57,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
14,12,98.33,47,28.42
20,25,98.33,58,28.75
27,27,98.33,67,28.75
27,27,98.33,67,28.75
21,18,98.33,45,28.42
7,15,98.33,70,28.75
30,28,98.33,65,28.75
7,15,98.33,50,28.75
30,28,98.33,60,28.75
13,22,98.33,62,28.42
7,15,98.33,53,28.75
18,1,98.33,58,28.75
25,24,98.33,76,28.42
20,25,98.33,67,28.75
20,25,98.33,67,28.75
16,29,98.33,58,28.75
7,15,98.33,72,28.75
20,25,98.33,52,28.75
27,27,98.33,36,28.75
27,27,98.33,36,28.75
16,29,98.33,58,28.75
21,18,98.33,60,28.42
20,25,98.33,66,28.75
20,25,98.33,66,28.75
19,7,98.33,74,28.75
8,21,98.33,41,28.42
30,28,98.33,63,28.75
26,14,98.33,65,28.75
26,14,98.33,65,28.75
27,27,98.33,75,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
11,23,98.33,82,28.75
27,27,98.33,62,28.75
23,16,98.33,57,28.75
27,27,98.33,67,28.75
11,23,98.33,68,28.75
2,20,98.33,48,28.75
30,28,98.33,8,28.75
10,26,98.33,57,28.75
27,27,98.33,81,28.75
20,25,98.33,70,28.75
28,8,98.33,62,28.42
14,12,98.33,47,28.42
13,22,98.33,62,28.42
22,17,98.33,61,28.75
8,21,98.33,41,28.42
27,27,98.33,53,28.75
27,27,98.33,53,28.75
8,21,98.33,53,28.42
2,20,98.33,48,28.75
2,20,98.33,48,28.75
14,12,98.33,63,28.42
24,11,98.33,60,28.42
24,11,98.33,60,28.42
30,28,98.33,59,28.75
20,25,98.33,47,28.75
21,18,98.33,64,28.42
10,26,98.33,55,28.75
16,29,98.33,24,28.75
27,27,98.33,65,28.75
25,24,98.33,65,28.42
27,27,98.33,61,28.75
27,27,98.33,68,28.75
21,18,98.33,48,28.42
28,8,98.33,77,28.42
27,27,98.33,71,28.75
18,1,98.33,73,28.75
30,28,98.33,63,28.75
30,28,98.33,67,28.75
20,25,98.33,60,28.75
25,24,98.33,67,28.42
21,18,98.33,56,28.42
25,24,98.33,75,28.42
17,19,98.33,59,28.72
23,16,98.33,53,28.75
23,16,98.33,53,28.75
10,26,98.33,59,28.75
17,19,98.33,62,28.72
13,22,98.33,62,28.42
17,19,98.33,55,28.72
27,27,98.33,68,28.75
30,28,98.33,73,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
21,18,98.33,45,28.42
30,28,98.33,75,28.75
30,28,98.33,60,28.75
9,6,98.33,67,28.42
9,6,98.33,67,28.42
9,6,98.33,67,28.42
21,18,98.33,60,28.42
25,24,98.33,76,28.42
13,22,98.33,80,28.42
30,28,98.33,69,28.75
30,28,98.33,59,28.75
9,6,98.33,62,28.42
27,27,98.33,67,28.75
27,27,98.33,59,28.75
27,27,98.33,82,28.75
22,17,98.33,52,28.75
12,4,98.33,67,28.75
26,14,98.33,72,28.75
11,23,98.33,60,28.75
15,10,98.33,67,28.75
13,22,98.33,52,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
30,28,98.33,50,28.75
27,27,98.33,65,28.75
27,27,98.33,65,28.75
16,29,98.33,60,28.75
8,21,98.33,58,28.42
25,24,98.33,68,28.42
10,26,98.33,70,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
14,12,98.33,78,28.42
30,28,98.33,49,28.75
18,1,98.33,58,28.75
27,27,98.33,54,28.75
13,22,98.33,64,28.42
15,10,98.33,67,28.75
30,28,98.33,62,28.75
13,22,98.33,72,28.42
27,27,98.33,59,28.75
27,27,98.33,65,28.75
30,28,98.33,54,28.75
6,3,98.33,67,28.75
13,22,98.33,62,28.42
3,13,98.33,74,28.75
24,11,98.33,76,28.42
18,1,98.33,45,28.75
20,25,98.33,71,28.75
17,19,98.33,80,28.72
6,3,98.33,39,28.75
27,27,98.33,46,28.75
21,18,98.33,69,28.42
20,25,98.33,52,28.75
29,9,98.33,28,28.42
29,9,98.33,70,28.42
25,24,98.33,83,28.42
18,1,98.33,73,28.75
9,6,98.33,62,28.42
14,12,98.33,66,28.42
30,28,98.33,67,28.75
30,28,98.33,75,28.75
14,12,98.33,47,28.42
27,27,98.33,81,28.75
24,11,98.33,75,28.42
30,28,98.33,49,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
20,25,98.33,47,28.75
21,18,98.33,62,28.42
3,13,98.33,38,28.75
30,28,98.33,62,28.75
22,17,98.33,68,28.75
30,28,98.33,54,28.75
20,25,98.33,58,28.75
30,28,98.33,49,28.75
27,27,98.33,67,28.75
20,25,98.33,61,28.75
8,21,98.33,41,28.42
6,3,98.33,67,28.75
22,17,98.33,54,28.75
30,28,98.33,27,28.75
26,14,98.33,71,28.75
26,14,98.33,71,28.75
29,9,98.33,58,28.42
20,25,98.33,72,28.75
24,11,98.33,76,28.42
7,15,98.33,64,28.75
14,12,98.33,63,28.42
26,14,98.33,65,28.75
26,14,98.33,65,28.75
26,14,98.33,65,28.75
26,14,98.33,65,28.75
21,18,98.33,46,28.42
27,27,98.33,59,28.75
27,27,98.33,82,28.75
21,18,98.33,53,28.42
10,26,98.33,83,28.75
27,27,98.33,47,28.75
5,2,98.33,76,28.75
14,12,98.33,47,28.42
29,9,98.33,43,28.42
29,9,98.33,43,28.42
29,9,98.33,43,28.42
24,11,98.33,60,28.42
24,11,98.33,60,28.42
25,24,98.33,58,28.42
27,27,98.33,77,28.75
26,14,98.33,74,28.75
30,28,98.33,8,28.75
22,17,98.33,60,28.75
24,11,98.33,76,28.42
4,30,98.33,47,28.75
16,29,98.33,60,28.75
30,28,98.33,59,28.75
21,18,98.33,73,28.42
13,22,98.33,62,28.42
30,28,98.33,63,28.75
9,6,98.33,67,28.42
9,6,98.33,67,28.42
9,6,98.33,67,28.42
23,16,98.33,74,28.75
27,27,98.33,82,28.75
13,22,98.33,55,28.42
21,18,98.33,52,28.42
22,17,98.33,78,28.75
27,27,98.33,83,28.75
20,25,98.33,66,28.75
26,14,98.33,66,28.75
27,27,98.33,63,28.75
27,27,98.33,63,28.75
30,28,98.33,67,28.75
27,27,98.33,46,28.75
28,8,98.33,82,28.42
24,11,98.33,48,28.42
21,18,98.33,73,28.42
21,18,98.33,73,28.42
19,7,98.33,65,28.75
23,16,98.33,53,28.75
23,16,98.33,53,28.75
27,27,98.33,75,28.75
18,1,98.33,58,28.75
13,22,98.33,62,28.42
17,19,98.33,60,28.72
17,19,98.33,60,28.72
26,14,98.33,69,28.75
20,25,98.33,76,28.75
24,11,98.33,61,28.42
24,11,98.33,61,28.42
21,18,98.33,64,28.42
17,19,98.33,85,28.72
9,6,98.33,62,28.42
30,28,98.33,59,28.75
27,27,98.33,65,28.75
25,24,98.33,79,28.42
27,27,98.33,68,28.75
2,20,98.33,48,28.75
2,20,98.33,48,28.75
20,25,98.33,70,28.75
4,30,98.33,68,28.75
23,16,98.33,41,28.75
21,18,98.33,46,28.42
2,20,98.33,25,28.75
14,12,98.33,47,28.42
7,15,98.33,25,28.75
22,17,98.33,54,28.75
21,18,98.33,70,28.42
12,4,98.33,70,28.75
25,24,98.33,56,28.42
27,27,98.33,70,28.75
9,6,98.33,59,28.42
27,27,98.33,62,28.75
14,12,98.33,47,28.42
22,17,98.33,54,28.75
16,29,98.33,46,28.75
27,27,98.33,60,28.75
16,29,98.33,69,28.75
16,29,98.33,69,28.75
27,27,98.33,65,28.75
17,19,98.33,67,28.72
20,25,98.33,58,28.75
30,28,98.33,42,28.75
9,6,98.33,34,28.42
9,6,98.33,34,28.42
27,27,98.33,63,28.75
27,27,98.33,63,28.75
21,18,98.33,75,28.42
17,19,98.33,60,28.72
17,19,98.33,60,28.72
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
22,17,98.33,70,28.75
7,15,98.33,43,28.75
30,28,98.33,67,28.75
11,23,98.33,57,28.75
30,28,98.33,49,28.75
3,13,98.33,60,28.75
26,14,98.33,63,28.75
3,13,98.33,74,28.75
6,3,98.33,76,28.75
17,19,98.33,60,28.72
17,19,98.33,60,28.72
30,28,98.33,42,28.75
21,18,98.33,83,28.42
21,18,98.33,68,28.42
30,28,98.33,67,28.75
17,19,98.33,60,28.72
17,19,98.33,60,28.72
13,22,98.33,62,28.42
3,13,98.33,63,28.75
28,8,98.33,59,28.42
30,28,98.33,57,28.75
20,25,98.33,66,28.75
25,24,98.33,63,28.42
26,14,98.33,71,28.75
26,14,98.33,71,28.75
27,27,98.33,62,28.75
21,18,98.33,82,28.42
25,24,98.33,75,28.42
18,1,98.33,58,28.75
30,28,98.33,72,28.75
30,28,98.33,42,28.75
20,25,98.33,34,28.75
20,25,98.33,34,28.75
21,18,98.33,45,28.42
27,27,98.33,60,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
27,27,98.33,63,28.75
27,27,98.33,63,28.75
22,17,98.33,61,28.75
14,12,98.33,47,28.42
27,27,98.33,65,28.75
27,27,98.33,65,28.75
19,7,98.33,65,28.75
27,27,98.33,63,28.75
27,27,98.33,63,28.75
25,24,98.33,75,28.42
30,28,98.33,42,28.75
14,12,98.33,56,28.42
27,27,98.33,70,28.75
21,18,98.33,64,28.42
30,28,98.33,8,28.75
27,27,98.33,60,28.75
27,27,98.33,82,28.75
8,21,98.33,72,28.42
24,11,98.33,60,28.42
24,11,98.33,60,28.42
27,27,98.33,82,28.75
23,16,98.33,57,28.75
22,17,98.33,70,28.75
13,22,98.33,62,28.42
27,27,98.33,45,28.75
30,28,98.33,42,28.75
23,16,98.33,66,28.75
25,24,98.33,70,28.42
30,28,98.33,60,28.75
23,16,98.33,84,28.75
16,29,98.33,59,28.75
27,27,98.33,34,28.75
26,14,98.33,63,28.75
13,22,98.33,28,28.42
30,28,98.33,59,28.75
30,28,98.33,59,28.75
17,19,98.33,63,28.72
26,14,98.33,52,28.75
30,28,98.33,42,28.75
27,27,98.33,46,28.75
25,24,98.33,65,28.42
21,18,98.33,68,28.42
21,18,98.33,47,28.42
27,27,98.33,70,28.75
8,21,98.33,29,28.42
23,16,98.33,41,28.75
17,19,98.33,80,28.72
14,12,98.33,2,28.42
7,15,98.33,72,28.75
30,28,98.33,84,28.75
4,30,98.33,47,28.75
27,27,98.33,72,28.75
2,20,98.33,73,28.75
27,27,98.33,82,28.75
17,19,98.33,50,28.72
3,13,98.33,55,28.75
30,28,98.33,69,28.75
30,28,98.33,65,28.75
30,28,98.33,65,28.75
4,30,98.33,50,28.75
17,19,98.33,60,28.72
17,19,98.33,60,28.72
15,10,98.33,54,28.75
25,24,98.33,53,28.42
21,18,98.33,73,28.42
24,11,98.33,60,28.42
24,11,98.33,60,28.42
30,28,98.33,50,28.75
24,11,98.33,75,28.42
14,12,98.33,65,28.42
21,18,98.33,46,28.42
19,7,98.33,60,28.75
17,19,98.33,52,28.72
30,28,98.33,45,28.75
30,28,98.33,57,28.75
30,28,98.33,57,28.75
30,28,98.33,57,28.75
27,27,98.33,59,28.75
8,21,98.33,62,28.42
27,27,98.33,63,28.75
27,27,98.33,63,28.75
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
30,28,98.33,76,28.75
15,10,98.33,54,28.75
27,27,98.33,34,28.75
17,19,98.33,85,28.72
4,30,98.33,47,28.75
16,29,98.33,57,28.75
24,11,98.33,75,28.42
19,7,98.33,55,28.75
27,27,98.33,60,28.75
27,27,98.33,65,28.75
21,18,98.33,73,28.42
22,17,98.33,78,28.75
20,25,98.33,66,28.75
16,29,98.33,57,28.75
21,18,98.33,47,28.42
26,14,98.33,52,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
21,18,98.33,75,28.42
27,27,98.33,52,28.75
17,19,98.33,65,28.72
22,17,98.33,70,28.75
20,25,98.33,34,28.75
20,25,98.33,34,28.75
22,17,98.33,73,28.75
27,27,98.33,48,28.75
30,28,98.33,50,28.75
24,11,98.33,70,28.42
14,12,98.33,65,28.42
19,7,98.33,62,28.75
17,19,98.33,72,28.72
11,23,98.33,60,28.75
16,29,98.33,69,28.75
24,11,98.33,65,28.42
24,11,98.33,60,28.42
30,28,98.33,65,28.75
30,28,98.33,65,28.75
25,24,98.33,58,28.42
14,12,98.33,65,28.42
22,17,98.33,63,28.75
5,2,98.33,82,28.75
21,18,98.33,77,28.42
21,18,98.33,77,28.42
30,28,98.33,57,28.75
30,28,98.33,57,28.75
30,28,98.33,57,28.75
23,16,98.33,66,28.75
17,19,98.33,62,28.72
20,25,98.33,34,28.75
20,25,98.33,34,28.75
23,16,98.33,70,28.75
25,24,98.33,62,28.42
30,28,98.33,79,28.75
8,21,98.33,71,28.42
17,19,98.33,63,28.72
8,21,98.33,50,28.42
7,15,98.33,52,28.75
7,15,98.33,52,28.75
30,28,98.33,54,28.75
14,12,98.33,52,28.42
30,28,98.33,75,28.75
4,30,98.33,47,28.75
26,14,98.33,69,28.75
27,27,98.33,82,28.75
18,1,98.33,74,28.75
20,25,98.33,66,28.75
27,27,98.33,83,28.75
7,15,98.33,52,28.75
24,11,98.33,73,28.42
22,17,98.33,64,28.75
19,7,98.33,60,28.75
19,7,98.33,45,28.75
27,27,98.33,70,28.75
27,27,98.33,60,28.75
21,18,98.33,46,28.42
27,27,98.33,65,28.75
27,27,98.33,65,28.75
24,11,98.33,83,28.42
23,16,98.33,41,28.75
27,27,98.33,80,28.75
30,28,98.33,37,28.75
21,18,98.33,64,28.42
30,28,98.33,76,28.75
30,28,98.33,79,28.75
16,29,98.33,50,28.75
30,28,98.33,55,28.75
20,25,98.33,88,28.75
27,27,98.33,48,28.75
24,11,98.33,73,28.42
11,23,98.33,60,28.75
24,11,98.33,65,28.42
21,18,98.33,73,28.42
26,14,98.33,74,28.75
24,11,98.33,75,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
30,28,98.33,30,28.75
20,25,98.33,66,28.75
29,9,98.33,66,28.42
16,29,98.33,24,28.75
21,18,98.33,56,28.42
2,20,98.33,54,28.75
23,16,98.33,53,28.75
23,16,98.33,53,28.75
27,27,98.33,63,28.75
27,27,98.33,63,28.75
27,27,98.33,60,28.75
19,7,98.33,62,28.75
7,15,98.33,69,28.75
24,11,98.33,61,28.42
24,11,98.33,61,28.42
20,25,98.33,58,28.75
23,16,98.33,75,28.75
26,14,98.33,71,28.75
26,14,98.33,71,28.75
16,29,98.33,58,28.75
27,27,98.33,65,28.75
29,9,98.33,63,28.42
30,28,98.33,70,28.75
26,14,98.33,46,28.75
27,27,98.33,45,28.75
27,27,98.33,65,28.75
26,14,98.33,52,28.75
11,23,98.33,58,28.75
26,14,98.33,65,28.75
26,14,98.33,65,28.75
17,19,98.33,60,28.72
27,27,98.33,48,28.75
27,27,98.33,57,28.75
20,25,98.33,70,28.75
3,13,98.33,60,28.75
15,10,98.33,39,28.75
7,15,98.33,52,28.75
7,15,98.33,52,28.75
24,11,98.33,83,28.42
24,11,98.33,73,28.42
27,27,98.33,82,28.75
27,27,98.33,58,28.75
24,11,98.33,64,28.42
22,17,98.33,64,28.75
30,28,98.33,65,28.75
30,28,98.33,61,28.75
27,27,98.33,67,28.75
27,27,98.33,67,28.75
30,28,98.33,59,28.75
30,28,98.33,59,28.75
28,8,98.33,68,28.42
20,25,98.33,61,28.75
25,24,98.33,59,28.42
30,28,98.33,65,28.75
16,29,98.33,57,28.75
25,24,98.33,53,28.42
27,27,98.33,67,28.75
11,23,98.33,73,28.75
27,27,98.33,60,28.75
26,14,98.33,49,28.75
30,28,98.33,62,28.75
13,22,98.33,70,28.42
7,15,98.33,48,28.75
15,10,98.33,65,28.75
30,28,98.33,8,28.75
27,27,98.33,55,28.75
30,28,98.33,57,28.75
19,7,98.33,62,28.75
21,18,98.33,83,28.42
27,27,98.33,63,28.75
27,27,98.33,63,28.75
15,10,98.33,70,28.75
14,12,98.33,65,28.42
16,29,98.33,24,28.75
7,15,98.33,61,28.75
17,19,98.33,78,28.72
30,28,98.33,78,28.75
30,28,98.33,30,28.75
20,25,98.33,62,28.75
27,27,98.33,65,28.75
30,28,98.33,71,28.75
30,28,98.33,67,28.75
21,18,98.33,71,28.42
24,11,98.33,59,28.42
18,1,98.33,70,28.75
25,24,98.33,50,
13,22,98.33,65,28.42
21,18,98.33,76,28.42
30,28,98.33,80,28.75
20,25,98.33,70,28.75
20,25,98.33,65,28.75
19,7,98.33,76,28.75
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
25,24,98.33,71,28.42
27,27,98.33,62,28.75
27,27,98.33,68,28.75
30,28,98.33,60,28.75
21,18,98.33,65,28.42
21,18,98.33,65,28.42
28,8,98.33,54,28.42
30,28,98.33,64,28.75
26,14,98.33,71,28.75
26,14,98.33,71,28.75
10,26,98.33,60,28.75
30,28,98.33,30,28.75
27,27,98.33,82,28.75
13,22,98.33,62,28.42
27,27,98.33,65,28.75
7,15,98.33,52,28.75
7,15,98.33,52,28.75
26,14,98.33,82,28.75
2,20,98.33,57,28.75
2,20,98.33,57,28.75
30,28,98.33,70,28.75
27,27,98.33,78,28.75
26,14,98.33,49,28.75
22,17,98.33,64,28.75
20,25,98.33,70,28.75
21,18,98.33,64,28.42
21,18,98.33,68,28.42
20,25,98.33,53,28.75
23,16,98.33,80,28.75
28,8,98.33,71,28.42
18,1,98.33,60,28.75
15,10,98.33,72,28.75
20,25,98.33,64,28.75
25,24,98.33,58,28.42
17,19,98.33,60,28.72
17,19,98.33,60,28.72
21,18,98.33,46,28.42
30,28,98.33,62,28.75
21,18,98.33,69,28.42
30,28,98.33,65,28.75
30,28,98.33,71,28.75
30,28,98.33,71,28.75
21,18,98.33,60,28.42
15,10,98.33,66,28.75
16,29,98.33,57,28.75
19,7,98.33,66,28.75
22,17,98.33,59,28.75
14,12,98.33,42,28.42
24,11,98.33,75,28.42
20,25,98.33,70,28.75
30,28,98.33,52,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
22,17,98.33,64,28.75
27,27,98.33,73,28.75
30,28,98.33,30,28.75
27,27,98.33,85,28.75
20,25,98.33,52,28.75
30,28,98.33,74,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
27,27,98.33,65,28.75
27,27,98.33,65,28.75
30,28,98.33,57,28.75
23,16,98.33,41,28.75
19,7,98.33,76,28.75
27,27,98.33,53,28.75
20,25,98.33,40,28.75
3,13,98.33,44,28.75
18,1,98.33,56,28.75
23,16,98.33,41,28.75
20,25,98.33,61,28.75
16,29,98.33,46,28.75
27,27,98.33,67,28.75
27,27,98.33,64,28.75
23,16,98.33,70,28.75
17,19,98.33,60,28.72
4,30,98.33,58,28.75
24,11,98.33,60,28.42
24,11,98.33,60,28.42
26,14,98.33,49,28.75
26,14,98.33,65,28.75
26,14,98.33,65,28.75
30,28,98.33,50,28.75
30,28,98.33,50,28.75
17,19,98.33,31,28.72
30,28,98.33,58,28.75
27,27,98.33,75,28.75
16,29,98.33,59,28.75
30,28,98.33,67,28.75
30,28,98.33,58,28.75
21,18,98.33,65,28.42
23,16,98.33,78,28.75
27,27,98.33,65,28.75
30,28,98.33,62,28.75
18,1,98.33,60,28.75
3,13,98.33,63,28.75
15,10,98.33,66,28.75
4,30,98.33,25,28.75
25,24,98.33,60,28.42
29,9,98.33,63,28.42
26,14,98.33,68,28.75
27,27,98.33,74,28.75
27,27,98.33,74,28.75
21,18,98.33,77,28.42
21,18,98.33,77,28.42
21,18,98.33,78,28.42
27,27,98.33,66,28.75
22,17,98.33,72,28.75
16,29,98.33,59,28.75
27,27,98.33,67,28.75
27,27,98.33,67,28.75
11,23,98.33,72,28.75
27,27,98.33,54,28.75
27,27,98.33,82,28.75
30,28,98.33,27,28.75
2,20,98.33,54,28.75
27,27,98.33,45,28.75
21,18,98.33,66,28.42
19,7,98.33,65,28.75
21,18,98.33,73,28.42
13,22,98.33,70,28.42
30,28,98.33,44,28.75
22,17,98.33,60,28.75
20,25,98.33,62,28.75
21,18,98.33,60,28.42
21,18,98.33,60,28.42
21,18,98.33,60,28.42
24,11,98.33,61,28.42
